id,date,tour,court,break,ref,time,home,away,h_coef,a_coef
vHUnZJ55,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/vHUnZJ55/#/match-summary/match-summary,Завершен,Харрисон К. (Сша),Мазур Д. (Гер),2.20,1.68
KKDXUyH3,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/KKDXUyH3/#/match-summary/match-summary,Завершен,Айдукович Д. (Хор),Ричард А. (Шва),1.95,1.86
lICB1iKF,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/lICB1iKF/#/match-summary/match-summary,Завершен,Албот Р. (Мол),Офнер С. (Авт),1.65,2.25
hjJ23Dk3,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/hjJ23Dk3/#/match-summary/match-summary,Завершен,Боргес Н. (Пор),Пёрселл М. (Авс),2.14,1.72
4haHwj4K,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/4haHwj4K/#/match-summary/match-summary,Завершен,Клейн Л. (Сла),Сеппи А. (Ита),2.43,1.57
nFXQFXgN,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/nFXQFXgN/#/match-summary/match-summary,Завершен,Козлов С. (Сша),Новак Д. (Авт),2.32,1.61
EJ6tTFoG,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/EJ6tTFoG/#/match-summary/match-summary,Завершен,Колар З. (Чех),Вавассори А. (Ита),1.53,2.50
0O8vR2ZB,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/0O8vR2ZB/#/match-summary/match-summary,Завершен,Кузманов Д. (Бог),Коко Э. (Фра),2.13,1.72
67UqlTy1,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/67UqlTy1/#/match-summary/match-summary,Завершен,Мартерер М. (Гер),Морено Де Альборан Н. (Сша),1.34,3.25
vF7rQMlI,23/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Уимблдон (Великобритания) - квалификация,трава,2,https://www.flashscore.ru.com/match/vF7rQMlI/#/match-summary/match-summary,Завершен,Пирош Ж. (Вен),Кукушкин М. (Каз),2.11,1.73
