id,date,tour,court,break,ref,time,home,away,h_coef,a_coef
84l9sBBR,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Gurugram (Индия),хард,2,https://www.flashscore.ru.com/match/84l9sBBR/#/match-summary/match-summary,07:30TKP,Имамура С. (Япо),Уколова А. (Рос),1.29,3.25
U7fzwVJr,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Gurugram (Индия),хард,2,https://www.flashscore.ru.com/match/U7fzwVJr/#/match-summary/match-summary,08:00TKP,Марцинкевич Д. (Лат),Костулас С. (Бел),2.90,1.36
vPdhogC2,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Gurugram (Индия),хард,2,https://www.flashscore.ru.com/match/vPdhogC2/#/match-summary/match-summary,08:00TKP,Тханди К. К. (Инд),Чаудхари В. (Инд),1.24,3.65
48iMqwML,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/48iMqwML/#/match-summary/match-summary,10:00TKP,Поточник Н. (Сло),Дёрст Дж. (Шва),1.28,3.35
bBlEoai9,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/bBlEoai9/#/match-summary/match-summary,10:00TKP,Фрухвиртова Б. (Чех),Зайбольд Э. (Гер),1.17,4.50
OhYhvHqq,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/OhYhvHqq/#/match-summary/match-summary,10:00TKP,Якупович Д. (Сло),Байерлова М. (Чех),1.17,4.40
2qXdwyak,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/2qXdwyak/#/match-summary/match-summary,11:30TKP,Палицова Б. (Чех),Крэчун Дж. (Рум),1.24,4.14
j5RnVw7S,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Perigueux (Франция),грунт,2,https://www.flashscore.ru.com/match/j5RnVw7S/#/match-summary/match-summary,12:30TKP,Андреева М. (Рос),Гамис А. (Вен),-,-
jVdrYuN9,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Perigueux (Франция),грунт,2,https://www.flashscore.ru.com/match/jVdrYuN9/#/match-summary/match-summary,12:30TKP,Хобгарски К. (Гер),Алби О. (Фра),-,-
IiTvXaxG,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Perigueux (Франция),грунт,2,https://www.flashscore.ru.com/match/IiTvXaxG/#/match-summary/match-summary,14:00TKP,Варгнье Л. (Фра),Яничиевич С. (Фра),-,-
SQIEQcFq,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Perigueux (Франция),грунт,2,https://www.flashscore.ru.com/match/SQIEQcFq/#/match-summary/match-summary,14:00TKP,Парто М. (Фра),Страхова В. (Укр),-,-
QLChDo7A,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/QLChDo7A/#/match-summary/match-summary,11:00TKP,Вюрт Т. (Хор),Салкова Д. (Чех),1.63,2.15
zXJuGmNi,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/zXJuGmNi/#/match-summary/match-summary,11:00TKP,Ромеро-Гормаз Л. (Исп),Радивоевич Л. (Сер),1.64,2.12
Ie9pF7xb,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/Ie9pF7xb/#/match-summary/match-summary,12:30TKP,Марцинко П. (Хор),Гиороайе И.-Г. (Рум),1.15,5.65
4CBdC5MG,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/4CBdC5MG/#/match-summary/match-summary,12:30TKP,Рошка А. (Рум),Шабанин Н. (Вен),1.66,2.24
QgloITfp,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/QgloITfp/#/match-summary/match-summary,10:00TKP,Кадар Е.-Т. (Рум),Савиных В. (Рос),1.61,2.17
rXw0wvRh,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/rXw0wvRh/#/match-summary/match-summary,10:00TKP,Кудерметова П. (Рос),Кимчи Ш. (Изр),1.57,2.25
xWW8yIe5,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/xWW8yIe5/#/match-summary/match-summary,10:00TKP,Тимофеева М. (Рос),Линд Э. (Вел),1.24,3.70
WhWCzxBB,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/WhWCzxBB/#/match-summary/match-summary,11:00TKP,Мурамацу Ч. (Япо),Хирин Н. (Изр),2.49,1.54
